word1,word2,pos
appropriate,inappropriate,a
appropriately,inappropriately,r
appropriateness,inappropriateness,n
approval,disapproval,n
approve,disapprove,v
approvingly,disapprovingly,r
apropos,malapropos,a
apteral,peripteral,a
aptitude,inaptitude,n
aptness,inaptness,n
aquatic,amphibious,a
aquatic,terrestrial,a
aqueous,igneous,a
arbitrable,nonarbitrable,a
arbitrary,nonarbitrary,a
arboreal,nonarboreal,a
arenaceous,argillaceous,a
argillaceous,arenaceous,a
argumentative,unargumentative,a
arise,lie_down,v
arise,sit_down,v
arm,disarm,v
armament,disarmament,n
armed,armless,a
armed,unarmed,a
arming,disarming,n
armless,armed,a
armored,unarmored,a
arrange,disarrange,v
arranged,disarranged,a
arrive,leave,v
artesian,subartesian,a
artful,artless,a
artfulness,artlessness,n
articulate,inarticulate,a
articulated,unarticulated,a
articulately,inarticulately,r
artifact,natural_object,n
artificial,natural,a
artificial_language,natural_language,n
artificially,naturally,r
artless,artful,a
artlessness,artfulness,n
ascend,descend,v
ascending,descending,a
ascending_node,descending_node,n
ascent,descent,n
asexual,sexual,a
ashamed,unashamed,a
ashamedly,unashamedly,r
asleep,awake,a
assemble,disassemble,v
assembly,disassembly,n
assent,dissent,v
assertive,unassertive,a
assertively,unassertively,r
asset,liability,n
assigned,unassigned,a
assimilate,dissimilate,v
assisted,unassisted,a
associate,dissociate,v
association,disassociation,n
associative,nonassociative,a
assortative_mating,disassortative_mating,n
astigmatic,anastigmatic,a
astigmatism,stigmatism,n
astomatous,stomatous,a
astringent,nonastringent,a
asymmetrical,symmetrical,a
asymmetrically,symmetrically,r
asymmetry,symmetry,n
asynchronism,synchronism,n
asynchronous,synchronous,a
asynchronous_operation,synchronous_operation,n
asyndetic,syndetic,a
at_best,at_worst,r
at_least,at_most,r
at_most,at_least,r
at_the_least,at_the_most,r
at_the_most,at_the_least,r
at_worst,at_best,r
atheism,theism,n
atomism,holism,n
atomistic,holistic,a
atonal,tonal,a
atonality,tonality,n
atonic,tonic,a
atonicity,tonicity,n
atrophied,hypertrophied,a
attach,detach,v
attachable,detachable,a
attached,detached,a
attached,unattached,a
attack,defend,v
attend,miss,v
attend_to,neglect,v
attendance,nonattendance,n
attention,inattention,n
attentive,inattentive,a
attentiveness,inattentiveness,n
attract,repel,v
attraction,repulsion,n
attractive,repulsive,a
attractive,unattractive,a
attractively,unattractively,r
attractiveness,unattractiveness,n
attributable,unattributable,a
attributive,predicative,a
atypical,typical,a
atypicality,typicality,n
atypically,typically,r
audibility,inaudibility,n
audible,inaudible,a
audibly,inaudibly,r
augmentation,diminution,n
aunt,uncle,n
auspicious,inauspicious,a
auspiciously,inauspiciously,r
auspiciousness,inauspiciousness,n
authorized,unauthorized,a
autochthonous,allochthonous,a
autoecious,heteroecious,a
autogamous,endogamous,a
autogamous,exogamous,a
autogamy,allogamy,n
autogenous,heterogenous,a
autologous,heterologous,a
autologous,homologous,a
automatic,manual,a
autotrophic,heterotrophic,a
autumnal,summery,a
autumnal,wintry,a
autumnal_equinox,vernal_equinox,n
availability,unavailability,n
available,unavailable,a
avascular,vascular,a
avenged,unavenged,a
avirulent,virulent,a
avoid,confront,v
avow,disavow,v
awake,asleep,a
awaken,cause_to_sleep,v
awakened,unawakened,a
aware,unaware,a
away,home,a
away_game,home_game,n
awed,unawed,a
awkward,graceful,a
awkwardness,gracefulness,n
awned,awnless,a
awnless,awned,a
azonal,zonal,a
back,advance,v
back,ahead,r
back,front,a
back,front,n
back,front,v
back,veer,v
back_burner,front_burner,n
backed,backless,a
background,foreground,v
backhand,forehand,a
backless,backed,a
backward,forward,a
backward,forward,r
bad,good,a
bad,good,n
bad_egg,good_egg,n
bad_guy,good_guy,n
bad_luck,good_luck,n
bad_person,good_person,n
bad_weather,good_weather,n
badly,well,r
badness,goodness,n
balance,imbalance,n
balance,unbalance,v
balanced,unbalanced,a
balconied,unbalconied,a
banded,unbanded,a
baptized,unbaptized,a
bar,unbar,v
bare,covered,a
barreled,unbarreled,a
basic,incidental,a
basipetal,acropetal,a
basiscopic,acroscopic,a
be_active,rest,v
be_born,die,v
be_full,starve,v
be_well,suffer,v
beaked,beakless,a
beakless,beaked,a
bear,bull,n
bearing,nonbearing,a
beautiful,ugly,a
beautify,uglify,v
beauty,ugliness,n
becomingness,unbecomingness,n
bedded,bedless,a
bedless,bedded,a
begin,end,v
beginning,end,n
beginning,ending,n
beginning,middle,n
begrudge,wish,v
behave,misbehave,v
being,nonbeing,n
belief,unbelief,n
believably,unbelievably,r
believe,disbelieve,v
believingly,unbelievingly,r
bellied,bellyless,a
bellyless,bellied,a
below,above,r
belt,unbelt,v
belted,unbelted,a
bend,straighten,v
bend,unbend,v
beneficed,unbeneficed,a
beneficence,maleficence,n
beneficent,maleficent,a
benevolence,malevolence,n
benevolently,malevolently,r
benign,malign,a
benign,malignant,a
benignancy,malignancy,n
benignity,malignity,n
bequeath,disinherit,v
beseeching,imperative,a
best,worst,a
best,worst,n
better,worse,a
better,worsen,v
bettering,worsening,a
bibbed,bibless,a
bibless,bibbed,a
bicameral,unicameral,a
bidirectional,unidirectional,a
biennial,annual,a
biennial,perennial,a
big,little,a
big,small,r
bigness,littleness,n
bimodal,unimodal,a
binaural,monaural,a
binaurally,monaurally,r
bind,unbind,v
binucleate,mononuclear,a
binucleate,trinucleate,a
biodegradable_pollution,nonbiodegradable_pollution,n
biological,adoptive,a
biped,quadruped,a
bipedal,quadrupedal,a
bipolar,unipolar,a
birth,death,n
bisexual,heterosexual,a
bisexual,homosexual,a
bivalent,multivalent,a
bivalent,univalent,a
bivalve,univalve,a
black,white,a
black,white,n
black-and-white,color,a
blacken,whiten,v
blame,absolve,v
blemished,unblemished,a
blended,unblended,a
bless,curse,v
blessed,cursed,a
blind,sighted,a
block,unblock,v
blond,brunet,a
bloodily,bloodlessly,r
bloodless,bloody,a
bloodlessly,bloodily,r
bloody,bloodless,a
blow_up,reduce,v
blue-collar,white-collar,a
blunt_file,taper_file,n
blur,focus,v
boarding_school,day_school,n
bodied,unbodied,a
boil,freeze,v
bold,timid,a
boldness,timidity,n
bolt,unbolt,v
boneless,bony,a
bony,boneless,a
boo,applaud,v
bordered,unbordered,a
bore,interest,v
born,unborn,a
borrow,lend,v
borrower,lender,n
bottle-fed,breast-fed,a
bottlefeed,breastfeed,v
bottom,side,a
bottom,top,a
bottom,top,n
bottom-up,top-down,a
bottom_out,top_out,v
bottomed,bottomless,a
bottomless,bottomed,a
bounce,clear,v
bound,free,a
bound,unbound,a
bowed,plucked,a
box,unbox,v
boy,girl,n
boycott,patronise,v
boycott,patronize,v
brachycephalic,dolichocephalic,a
bracteate,ebracteate,a
braid,unbraid,v
brainwashed,unbrainwashed,a
branchiate,abranchiate,a
branchless,branchy,a
branchy,branchless,a
brand-name_drug,generic_drug,n
branded,unbranded,a
brave,cowardly,a
brave,timid,n
break,keep,v
break,make,v
break,repair,v
break_even,profit,v
breakable,unbreakable,a
breakableness,unbreakableness,n
breast-fed,bottle-fed,a
breasted,breastless,a
breastfeed,bottlefeed,v
breastless,breasted,a
breathing,breathless,a
breathless,breathing,a
bridgeable,unbridgeable,a
bridle,unbridle,v
bright,dull,a
brighten,darken,v
brightness,dullness,n
bring,take_away,v
bring_to,anesthetize,v
broad-minded,narrow-minded,a
broad-mindedly,narrow-mindedly,r
broad-mindedness,narrow-mindedness,n
broadly,narrowly,r
broken,unbroken,a
brother,sister,n
brotherly,sisterly,a
brunet,blond,a
buckle,unbuckle,v
bull,bear,n
burden,unburden,v
burdened,unburdened,a
buried,unburied,a
busy,idle,a
button,unbutton,v
buttoned,unbuttoned,a
buy,sell,v
by_all_means,by_no_means,r
by_hand,by_machine,r
by_machine,by_hand,r
by_no_means,by_all_means,r
cacodemon,eudemon,n
cacophonous,euphonious,a
caducous,persistent,a
calced,discalced,a
calcicolous,calcifugous,a
calcifugous,calcicolous,a
calcify,decalcify,v
calculable,incalculable,a
call_option,put_option,n
calm,agitate,v
calm,stormy,a
calmness,agitation,n
camphorated,uncamphorated,a
campylotropous,orthotropous,a
capability,incapability,n
capable,incapable,a
capableness,incapableness,n
capacity,incapacity,n
capitalism,socialism,n
capitalistic,socialistic,a
captor,liberator,n
cardinal,ordinal,a
cared-for,uncared-for,a
careful,careless,a
carefully,carelessly,r
carefulness,carelessness,n
careless,careful,a
carelessly,carefully,r
carelessness,carefulness,n
carinate,ratite,n
carnivorous,herbivorous,a
carnivorous,insectivorous,a
carpellate,acarpelous,a
carpeted,uncarpeted,a
carry_to_term,miscarry,v
carved,uncarved,a
carvel-built,clinker-built,a
cash,credit,n
cash_account,margin_account,n
cash_basis,accrual_basis,n
cast_off,cast_on,v
cast_on,cast_off,v
castrated,uncastrated,a
catabolic,anabolic,a
catabolism,anabolism,n
cataclinal,anaclinal,a
catadromous,anadromous,a
catadromous,diadromous,a
catalectic,acatalectic,a
catalectic,hypercatalectic,a
catalyst,anticatalyst,n
cataphatism,apophatism,n
catarrhine,leptorrhine,a
catarrhine,platyrrhine,a
categorem,syncategorem,n
categorematic,syncategorematic,a
categoreme,syncategoreme,n
cathode,anode,n
cathodic,anodic,a
cationic,anionic,a
caudal,cephalic,a
caudate,acaudate,a
caulescent,acaulescent,a
cauline,radical,a
caulked,uncaulked,a
causative,noncausative,a
cause_to_sleep,awaken,v
caution,incaution,n
cautious,incautious,a
cautiously,incautiously,r
ceilinged,floored,a
cellular,noncellular,a
cenobite,eremite,n
cenobitic,eremitic,a
cenogenesis,palingenesis,n
cenogenetic,palingenetic,a
censored,uncensored,a
center,left,a
center,right,a
central,peripheral,a
centralise,decentralise,v
centrality,marginality,n
centralization,decentralization,n
centralize,decentralize,v
centralized,decentralized,a
centralizing,decentralizing,a
centrally,peripherally,r
centrifugal,centripetal,a
centrifugal_force,centripetal_force,n
centripetal,centrifugal,a
centripetal_force,centrifugal_force,n
cephalic,caudal,a
cerebral,emotional,a
ceremoniously,unceremoniously,r
ceremoniousness,unceremoniousness,n
certain,uncertain,a
certainty,uncertainty,n
certified,uncertified,a
certify,decertify,v
chain,unchain,v
change,stay,v
changeable,unchangeable,a
changeableness,changelessness,n
changed,unchanged,a
changelessness,changeableness,n
characteristic,uncharacteristic,a
characteristically,uncharacteristically,r
charge,discharge,v
charge,pay_cash,v
charged,uncharged,a
charitable,uncharitable,a
chartered,unchartered,a
chaste,unchaste,a
cheap,expensive,a
cheaply,expensively,r
check_in,check_out,v
check_out,check_in,v
cheer,complain,v
cheerful,depressing,a
cheerfully,cheerlessly,r
cheerfulness,cheerlessness,n
cheerfulness,uncheerfulness,n
cheerlessly,cheerfully,r
cheerlessness,cheerfulness,n
child,parent,n
chivalrously,unchivalrously,r
chlamydeous,achlamydeous,a
cholinergic,anticholinergic,a
chondritic,achondritic,a
christian,unchristian,a
chromatic,achromatic,a
chromatic,diatonic,a
chromatic_color,achromatic_color,n
chromatinic,achromatinic,a
chronic,acute,a
chronically,acutely,r
circumstantial_evidence,direct_evidence,n
cismontane,tramontane,a
citizen,noncitizen,n
civil,sidereal,a
civil,uncivil,a
civil_law,international_law,n
civilian,military,a
civilian,serviceman,n
civility,incivility,n
civilized,noncivilized,a
civilly,uncivilly,r
claim,disclaim,v
claim,forfeit,v
clarify,obfuscate,v
clarity,obscurity,n
clarity,opacity,n
clasp,unclasp,v
classical,nonclassical,a
classicism,Romanticism,n
classicist,romanticist,n
classification,declassification,n
classified,unclassified,a
classify,declassify,v
clean,dirty,a
clean,dirty,v
clean,unclean,a
cleanliness,uncleanliness,n
cleanness,dirtiness,n
clear,bounce,v
clear,cloudy,a
clear,opaque,a
clear,unclear,a
clear_up,overcast,v
cleared,uncleared,a
clearheaded,confused,a
clearness,unclearness,n
clement,inclement,a
clergy,laity,n
clergyman,layman,n
climactic,anticlimactic,a
clinker-built,carvel-built,a
clip,unclip,v
clock_in,clock_out,v
clock_out,clock_in,v
clockwise,counterclockwise,a
clockwise,counterclockwise,r
clog,unclog,v
close,distant,a
close,open,v
close_up,open_up,v
closed,open,a
closed_chain,open_chain,n
closed_circuit,open_circuit,n
closed_interval,open_interval,n
closeness,openness,n
closing,opening,a
closing,opening,n
clothed,unclothed,a
cloudy,clear,a
clutter,unclutter,v
coarse,fine,a
coarsely,finely,r
coastal,inland,a
coated,uncoated,a
cognizance,incognizance,n
coherence,incoherence,n
coherent,incoherent,a
coherently,incoherently,r
coil,uncoil,v
coiled,uncoiled,a
cold,hot,a
cold-blooded,warm-blooded,a
cold_war,hot_war,n
coldhearted,warmhearted,a
coldness,hotness,n
collapsible,noncollapsible,a
collateral,lineal,a
collected,uncollected,a
collective,distributive,a
colonise,decolonise,v
colonize,decolonize,v
color,black-and-white,a
color,colorlessness,n
color,discolor,v
colored,uncolored,a
colorful,colorless,a
colorless,colorful,a
colorlessness,color,n
colourful,colourless,a
colourless,colourful,a
columned,noncolumned,a
combed,uncombed,a
combinative,noncombinative,a
combined,uncombined,a
combustible,noncombustible,a
come,go,v
come_in,go_out,v
comedy,tragedy,n
comfort,discomfort,n
comfortable,uncomfortable,a
comfortably,uncomfortably,r
commensurate,incommensurate,a
commercial,noncommercial,a
commissioned,noncommissioned,a
committed,uncommitted,a
commodious,incommodious,a
common,individual,a
common,uncommon,a
common_noun,proper_noun,n
commonality,individuality,n
commonness,uncommonness,n
communicate,excommunicate,v
communicative,uncommunicative,a
communicativeness,uncommunicativeness,n
commutable,incommutable,a
compact,loose,a
comparable,incomparable,a
comparably,incomparably,r
compartmented,uncompartmented,a
compassionate,uncompassionate,a
compatibility,incompatibility,n
compatible,incompatible,a
compatibly,incompatibly,r
competence,incompetence,n
competent,incompetent,a
competently,incompetently,r
competition,cooperation,n
competitive,noncompetitive,a
competitively,noncompetitively,r
complain,cheer,v
complaining,uncomplaining,a
complainingly,uncomplainingly,r
complete,incomplete,a
completeness,incompleteness,n
complex,simple,a
complex_instruction_set_computer,reduced_instruction_set_computer,n
complex_instruction_set_computing,reduced_instruction_set_computing,n
complexity,simplicity,n
compliance,noncompliance,n
compliant,defiant,a
complicate,simplify,v
complimentary,uncomplimentary,a
composed,discomposed,a
composure,discomposure,n
compound,simple,a
comprehensibility,incomprehensibility,n
comprehensible,incomprehensible,a
comprehension,incomprehension,n
comprehensive,noncomprehensive,a
comprehensively,noncomprehensively,r
compress,decompress,v
compressibility,incompressibility,n
compressible,incompressible,a
compression,decompression,n
compromising,uncompromising,a
con,pro,n
con,pro,r
concave,convex,a
concave_polygon,convex_polygon,n
concavely,convexly,r
concealed,unconcealed,a
concealing,revealing,a
conceit,humility,n
concentrate,deconcentrate,v
concentrated,distributed,a
concentration,dilution,n
concentration,distribution,n
concentric,eccentric,a
concentricity,eccentricity,n
conception,misconception,n
concern,unconcern,n
concerned,unconcerned,a
conciliatory,antagonistic,a
concise,prolix,a
conclusive,inconclusive,a
conclusively,inconclusively,r
conclusiveness,inconclusiveness,n
concrete,abstract,a
concretely,abstractly,r
concreteness,abstractness,n
conditional,unconditional,a
conditionally,unconditionally,r
conditioned,unconditioned,a
conductive,nonconductive,a
conductor,insulator,n
confidence,diffidence,n
confident,diffident,a
confine,free,v
confined,invasive,a
confined,unconfined,a
confirmed,unconfirmed,a
conform,deviate,v
conform_to,violate,v
conformism,nonconformism,n
conformist,nonconformist,a
conformist,nonconformist,n
conformity,nonconformity,n
confront,avoid,v
confused,clearheaded,a
congenial,uncongenial,a
congeniality,uncongeniality,n
congruent,incongruent,a
congruity,incongruity,n
congruous,incongruous,a
congruousness,incongruousness,n
conjunct,disjunct,a
conjunctive,disjunctive,a
connate,adnate,a
connect,disconnect,v
connected,unconnected,a
connectedness,disconnectedness,n
connectedness,unconnectedness,n
connotative,denotative,a
conquerable,unconquerable,a
consanguinity,affinity,n
conscientious,unconscientious,a
conscientiousness,unconscientiousness,n
conscious,unconscious,a
consciously,unconsciously,r
consciousness,unconsciousness,n
consecrate,desecrate,v
consecrated,desecrated,a
consequence,inconsequence,n
consequentially,inconsequentially,r
conservative,liberal,a
conservative,liberal,n
conserve,waste,v
considerable,inconsiderable,a
considerate,inconsiderate,a
considerately,inconsiderately,r
consideration,inconsideration,n
consistency,inconsistency,n
consistent,inconsistent,a
consistently,inconsistently,r
consolable,inconsolable,a
consonant,vowel,n
consonantal,vocalic,a
conspicuous,inconspicuous,a
conspicuously,inconspicuously,r
conspicuousness,inconspicuousness,n
constancy,inconstancy,n
constant,inconstant,a
constipated,unconstipated,a
constitutional,unconstitutional,a
constitutionally,unconstitutionally,r
constricted,unconstricted,a
construction,misconstruction,n
constructive,destructive,a
constructiveness,destructiveness,n
consume,abstain,v
consummated,unconsummated,a
consumptive,generative,a
contaminate,decontaminate,v
contaminated,uncontaminated,a
contamination,decontamination,n
contemptible,estimable,a
content,discontent,v
contented,discontented,a
contentment,discontentment,n
contestable,incontestable,a
contested,uncontested,a
continent,incontinent,a
continental,intercontinental,a
continual,sporadic,a
continuance,discontinuance,n
continuant_consonant,stop_consonant,n
continuation,discontinuation,n
continue,discontinue,v
continued,discontinued,a
continuity,discontinuity,n
continuous,discontinuous,a
contract,expand,v
contract_in,contract_out,v
contract_out,contract_in,v
contracted,expanded,a
contraction,expansion,n
contraindicate,indicate,v
contraindication,indication,n
contralateral,ipsilateral,a
contrasty,flat,a
controlled,uncontrolled,a
controversial,uncontroversial,a
controversially,uncontroversially,r
convenience,inconvenience,n
convenient,inconvenient,a
conveniently,inconveniently,r
conventional,nuclear,a
conventional,unconventional,a
conventionality,unconventionality,n
conventionally,unconventionally,r
converge,diverge,v
convergence,divergence,n
convergency,divergency,n
convergent,divergent,a
convergent_thinking,divergent_thinking,n
convertibility,inconvertibility,n
convertible,inconvertible,a
convex,concave,a
convex_polygon,concave_polygon,n
convexly,concavely,r
convict,acquit,v
conviction,acquittal,n
convinced,unconvinced,a
convincing,unconvincing,a
convincingly,unconvincingly,r
cooked,raw,a
cooking_apple,eating_apple,n
cool,heat,v
cool,warm,a
cooperation,competition,n
cooperative,uncooperative,a
coordinating,subordinating,a
coordination,incoordination,n
cork,uncork,v
corporeal,incorporeal,a
corporeality,incorporeality,n
corpuscular_theory,wave_theory,n
corpuscular_theory_of_light,wave_theory_of_light,n
correct,falsify,v
correct,incorrect,a
corrected,uncorrected,a
correctly,incorrectly,r
correctness,incorrectness,n
corrigible,incorrigible,a
corrupt,incorrupt,a
corruptibility,incorruptibility,n
corruptness,incorruptness,n
cortex,medulla,n
cosmopolitan,endemic,a
cosmopolitan,provincial,a
costive,laxative,a
counterclockwise,clockwise,a
counterclockwise,clockwise,r
counterfactuality,factuality,n
counterfeit,genuine,a
